Date,Trends
1/1/2017,6
1/8/2017,3
1/15/2017,6
1/22/2017,2
1/29/2017,5
2/5/2017,2
2/12/2017,1
2/19/2017,2
2/26/2017,1
3/5/2017,3
3/12/2017,5
3/19/2017,4
3/26/2017,10
4/2/2017,2
4/9/2017,1
4/16/2017,2
4/23/2017,7
4/30/2017,4
5/7/2017,17
5/14/2017,16
5/21/2017,12
5/28/2017,19
6/4/2017,100
6/11/2017,13
6/18/2017,4
